iso1,iso2,group,community
-39.47,2.89,1,1
-39.5,2.13,1,1
-27.26,4.61,2,1
-27.24,4.22,2,1
-27.63,2.97,3,1
-27.65,3.21,3,1
-27.27,2.2,3,1
-26.3,2.06,3,1
-27.39,3.42,4,1
-27.53,2.93,4,1
-27.52,2.98,4,1
-27.26,2.73,4,1
-28.86,4.56,5,1
-26.95,4.86,5,1
-27.78,4.87,5,1
-28.07,4.9,5,1
-32.41,5.53,6,1
-32.3,7.35,6,1
-25.94,4.02,7,1
-26.4,4.87,7,1
-25.04,3.3,7,1
-26.24,4.21,7,1
-26.98,4.82,8,1
-26.92,4.29,8,1
-26.94,4.89,8,1
-26.79,4.93,8,1
-25.62,6.27,9,1
-25.58,5.97,9,1
-25.43,5.5,9,1
-25.56,6.41,9,1
-27.49,6.57,10,1
-27.37,6.82,10,1
-27.34,5.76,10,1
-27.39,6.86,10,1
-32.5,2.31,1,2
-32.47,2.68,1,2
-32.13,2.93,1,2
-28.4,3.34,2,2
-27.84,3.43,2,2
-28.16,2.81,2,2
-28.08,3.35,2,2
-27.34,3.57,3,2
-26.97,4.25,3,2
-27.42,3.8,4,2
-27.24,3.82,4,2
-27.47,3.95,4,2
-27.51,3.63,4,2
-28.29,2.77,5,2
-28.37,2.96,5,2
-27.86,2.41,5,2
-28.01,2.99,5,2
-26.75,4.72,6,2
-26.76,4.54,6,2
-26.69,4.69,6,2
-26.87,4.68,6,2
-24.93,5.24,7,2
-24.19,5.18,7,2
-24.61,4.82,7,2
-25.32,5.28,7,2
-24.26,5.01,8,2
-24.05,4.75,8,2
-23.98,4.32,8,2
-23.96,4.57,8,2
-25.89,6.1,9,2
-25.79,5.97,9,2
-25.78,6.03,9,2
-25.74,6,9,2
-25.23,4.67,10,2
-25.33,4.69,10,2
-25.29,4.69,10,2
-25.25,4.79,10,2
-26.3,4.89,10,2
-26.15,5.02,10,2
-26.23,5.04,10,2
-26.27,5.01,10,2
-25.69,6.09,11,2
-25.61,5.74,11,2
-25.77,5.4,11,2
-32.73,12.06,1,3
-32.54,11.68,1,3
-32.62,12.05,1,3
-31.06,17.26,2,3
-27,7.66,3,3
-26.84,11.85,3,3
-26.9,12.88,3,3
-29.35,17.47,4,3
-29.65,16.85,4,3
-29.32,19.55,4,3
-29.58,20.28,4,3
-27.07,6.14,5,3
-26.41,5.54,5,3
-27.75,6.51,5,3
-28.89,5.32,5,3
-30.95,11.45,6,3
-30.42,9.72,6,3
-31.29,10.5,6,3
-30.94,10.19,6,3
-25.12,6.26,7,3
-25.16,6.31,7,3
-25.26,6.32,7,3
-25.1,6.29,7,3
-25.16,6.38,8,3
-25.25,6.57,8,3
-25.14,6.53,8,3
-25.16,6.44,8,3
-25.73,6.57,9,3
-25.8,6.86,9,3
-25.79,6.48,9,3
-25.64,6.54,9,3
-26.16,4.32,10,3
-25.97,4.32,10,3
-25.97,4.26,10,3
-26.05,4.19,10,3
-26.84,4.51,10,3
-26.7,4.8,10,3
-26.76,4.68,10,3
-26.69,4.53,10,3
-26.55,4.6,11,3
-26.81,4.62,11,3
-26.43,5.33,11,3
-26.75,5.15,11,3
