iso1,iso2,group,community
-40.758,-0.109285714,1,1
-33.6286,0.964,2,1
-28.9332,0.859842857,3,1
-29.6422,0.966485714,3,1
-30.357,0.954428571,4,1
-30.076,0.834214286,4,1
-30.453,0.644,4,1
-29.903,1.165785714,4,1
-29.3224,-0.444328571,5,1
-29.3264,-0.350542857,5,1
-29.5504,-0.042757143,5,1
-30.7356,1.037171429,6,1
-30.5876,1.514957143,6,1
-31.0046,1.638742857,6,1
-30.6296,1.507528571,6,1
-30.832,1.1882,7,1
-30.606,1.1842,7,1
-30.656,1.2742,7,1
-31.0517,1.2162,8,1
-31.0387,1.2682,8,1
-31.0267,1.4872,8,1
-31.0267,1.4832,8,1
-27.837,1.279,9,1
-26.636,-0.292,9,1
-27.153,0.81,9,1
-27.165,0.025,9,1
-31.3317,1.2599,10,1
-31.3007,1.2569,10,1
-31.3797,1.2999,10,1
-31.3537,1.1209,10,1
-37.9102,-0.256390506,1,2
-38.8132,0.126634889,1,2
-33.58,-0.9272,2,2
-33.562,-0.6952,2,2
-34.221,-1.0612,2,2
-33.498,-0.8192,2,2
-27.63,2.432,3,2
-27.672,2.664,3,2
-27.526,2.464,3,2
-27.545,2.497,3,2
-32.7345,-1.058,4,2
-32.8625,-1.097,4,2
-32.6405,-1.01,4,2
-32.8965,-1.12,4,2
-32.6576,-1.2904,5,2
-32.8266,-1.2444,5,2
-32.2656,-1.1444,5,2
-32.5096,-1.3664,5,2
-27.8147,2.4746,6,2
-28.1217,2.5046,6,2
-28.0947,2.5986,6,2
-28.2457,2.2476,6,2
-27.519,1.369656903,7,2
-27.77,1.802366857,7,2
-27.415,2.052591471,7,2
-27.796,2.344067406,7,2
-27.5728,2.6154,8,2
-27.4398,2.3784,8,2
-27.4198,2.1934,8,2
-27.6128,2.1374,8,2
-27.8845,1.56410984,9,2
-28.0875,1.572073974,9,2
-28.0125,1.432928969,9,2
-28.1485,1.583611543,9,2
-26.9265,2.490125337,9,2
-27.2445,2.545236271,9,2
-27.0805,2.572833896,9,2
-27.0175,2.541713711,9,2
-27.727,2.20011601,10,2
-27.73,2.257671906,10,2
-27.489,2.048092421,10,2
-27.559,1.837577057,10,2
-27.575,2.165647573,10,2
-27.895,2.087908189,10,2
-27.2689,2.0652,11,2
-27.8639,2.5972,11,2
-27.6589,1.8882,11,2
-27.4239,1.7912,11,2
-35.4052,2.723,1,3
-35.8462,2.055,1,3
-34.3632,5.032,2,3
-29.6436,0.1748,3,3
-29.2526,0.5258,3,3
-29.3556,-0.2082,3,3
-30.6779,-0.022,4,3
-30.0519,-0.185,4,3
-30.4019,-0.196,4,3
-30.6199,0.167,4,3
-28.6734,-0.131,5,3
-28.6784,-0.21,5,3
-27.5944,-0.497,5,3
-28.8664,-0.705,5,3
-29.15,-0.492,6,3
-29.849,-0.939,6,3
-30.626,-0.97,6,3
-30.656,-0.22,6,3
-31.0485,-0.483,7,3
-31.0045,-0.412,7,3
-31.0195,-0.358,7,3
-30.8725,-0.549,7,3
-28.4484,4.9643,8,3
-28.5334,5.2013,8,3
-28.4714,4.9283,8,3
-30.7686,-0.1832,9,3
-30.6956,-0.5122,9,3
-30.8796,0.1018,9,3
-30.8556,-0.2622,9,3
-31.1,0.016,10,3
-30.976,-0.192,10,3
-30.934,-0.174,10,3
-30.954,-0.143,10,3
-31.243,-0.386,11,3
-31.148,0.308,11,3
-31.163,-0.131,11,3
-31.197,-0.308,11,3
-36.3247,0.305785714,1,4
-37.4917,0.314357143,1,4
-37.0647,0.670928571,1,4
-33.362,0.979714286,2,4
-33.148,0.913285714,2,4
-33.398,0.491857143,2,4
-28.3168,-0.410885714,3,4
-27.9898,0.129828571,3,4
-30.477,1.0772,4,4
-30.413,0.535771429,4,4
-30.414,1.247342857,4,4
-28.2266,1.108971429,5,4
-28.7746,1.581542857,5,4
-28.6806,1.958114286,5,4
-31.5482,0.917342857,6,4
-31.5162,1.056057143,6,4
-31.6022,1.131771429,6,4
-25.5271,1.554328571,7,4
-28.1691,1.962042857,7,4
-24.6411,1.962757143,7,4
-25.7691,0.411471429,7,4
-26.3298,2.5646,8,4
-26.1578,2.2216,8,4
-28.8688,0.4906,8,4
-25.9468,1.1986,8,4
-29.04384286,3.1498,9,4
-28.0317,2.9198,9,4
-26.6127,1.9588,9,4
-26.5107,3.9638,9,4
-27.7657,2.5428,9,4
-26.774,2.4342,10,4
-26.403,3.0552,10,4
-28.616,0.8642,10,4
-27.1398,3.170485714,11,4
-27.0928,3.0442,11,4
-27.2048,3.228914286,11,4
