Stream,Year,Month,Source,QPACarbon,QPANitrogen,QPBCarbon,QPBNitrogen
QPA,2017,Feb_2017,Leaf_litter,-32.06,0.44,-30.30,2.68
QPA,2017,Feb_2017,Leaf_litter,-32.2,0.18,-30.30,1.87
QPA,2017,Feb_2017,Leaf_litter,-32.2,0.91,-30.36,2.59
QPA,2017,Feb_2017,Leaf_litter,-31.84,0.71,-30.25,1.42
QPA,2017,Feb_2017,Biofilm,-31.9,5.80,-34.422,4.747
QPA,2017,Feb_2017,Biofilm,-31.82,5.90,-34.532,5.284428571
QPA,2017,Feb_2017,Biofilm,-31.42,6.54,-34.156,4.876857143
QPA,2017,Feb_2017,Biofilm,-31.63,6.00,-34.37,4.790285714
QPA,2017,Nov_2017,Leaf_litter,-31.73,0.97,-32.20,-0.48
QPA,2017,Nov_2017,Leaf_litter,-31.63,0.95,-32.07,-0.24
QPA,2017,Nov_2017,Leaf_litter,-31.65,0.64,-32.41,-0.59
QPA,2017,Nov_2017,Leaf_litter,-31.26,1.15,-32.38,-0.54
QPA,2017,Nov_2017,Biofilm,-26.27,2.93,-27.51,2.61
QPA,2017,Nov_2017,Biofilm,-26.32,2.16,-27.40,2.52
QPA,2017,Nov_2017,Biofilm,-26.39,2.91,-27.47,2.68
QPA,2017,Nov_2017,Biofilm,-26.3,1.66,-27.44,2.17
QPA,2018,June_2018,Leaf_litter,-29.91,3.78,-30.424,0.678
QPA,2018,June_2018,Leaf_litter,-29.78,3.71,-30.745,0.551
QPA,2018,June_2018,Leaf_litter,-29.65,3.60,-30.212,0.69
QPA,2018,June_2018,Leaf_litter,-29.77,3.62,-30.40,0.387
QPA,2018,June_2018,Biofilm,-27.75,6.83,-28.44,5.16
QPA,2018,June_2018,Biofilm,-28.43,7.08,-29.73,7.50
QPA,2018,June_2018,Biofilm,-28.02,6.50,-28.61,5.03
QPA,2018,June_2018,Biofilm,-27.89,6.36,-28.13,5.28
QPA,2019,Feb_2019,Leaf_litter,-28.49,1.06,-30.26,0.69
QPA,2019,Feb_2019,Leaf_litter,-28.28,1.46,-30.22,0.61
QPA,2019,Feb_2019,Leaf_litter,-28.57,0.94,-30.03,0.48
QPA,2019,Feb_2019,Biofilm,-27.97,3.95,-27.09,3.32
QPA,2019,Feb_2019,Biofilm,-27.75,4.13,-27.17,3.98
QPA,2019,Feb_2019,Biofilm,-27.89,4.46,-27.18,NA
